accountweeks,contractrenewal,dataplan,datausage,custservcalls,daymins,daycalls,monthlycharge,overagefee,roammins,accountweeks_per_contractrenewal,accountweeks_per_dataplan,accountweeks_per_datausage,accountweeks_per_custservcalls,accountweeks_per_daymins,accountweeks_per_daycalls,accountweeks_per_monthlycharge,accountweeks_per_overagefee,accountweeks_per_roammins,contractrenewal_per_dataplan,contractrenewal_per_datausage,contractrenewal_per_custservcalls,contractrenewal_per_daymins,contractrenewal_per_daycalls,contractrenewal_per_monthlycharge,contractrenewal_per_overagefee,contractrenewal_per_roammins,dataplan_per_datausage,dataplan_per_custservcalls,dataplan_per_daymins,dataplan_per_daycalls,dataplan_per_monthlycharge,dataplan_per_overagefee,dataplan_per_roammins,datausage_per_custservcalls,datausage_per_daymins,datausage_per_daycalls,datausage_per_monthlycharge,datausage_per_overagefee,datausage_per_roammins,custservcalls_per_daymins,custservcalls_per_daycalls,custservcalls_per_monthlycharge,custservcalls_per_overagefee,custservcalls_per_roammins,daymins_per_daycalls,daymins_per_monthlycharge,daymins_per_overagefee,daymins_per_roammins,daycalls_per_monthlycharge,daycalls_per_overagefee,daycalls_per_roammins,monthlycharge_per_overagefee,monthlycharge_per_roammins,overagefee_per_roammins
106,1,1,3.54,0,220.1,105,92.4,11.11,13.1,106.0,106.0,29.94350282485876,,0.481599273057701,1.0095238095238095,1.147186147186147,9.54095409540954,8.091603053435115,1.0,0.2824858757062147,,0.0045433893684688,0.0095238095238095,0.0108225108225108,0.09000900090009,0.0763358778625954,0.2824858757062147,,0.0045433893684688,0.0095238095238095,0.0108225108225108,0.09000900090009,0.0763358778625954,,0.0160835983643798,0.0337142857142857,0.0383116883116883,0.3186318631863186,0.2702290076335878,0.0,0.0,0.0,0.0,0.0,2.096190476190476,2.382034632034632,19.81098109810981,16.801526717557252,1.1363636363636362,9.450945094509452,8.01526717557252,8.316831683168317,7.053435114503817,0.8480916030534351
94,1,0,0.0,4,157.9,105,41.0,7.75,8.0,94.0,,,23.5,0.5953134895503484,0.8952380952380953,2.292682926829268,12.129032258064516,11.75,,,0.25,0.006333122229259,0.0095238095238095,0.024390243902439,0.1290322580645161,0.125,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025332488917036,0.0380952380952381,0.0975609756097561,0.5161290322580645,0.5,1.503809523809524,3.851219512195122,20.374193548387098,19.7375,2.5609756097560976,13.548387096774194,13.125,5.290322580645161,5.125,0.96875
71,1,1,1.51,2,141.4,107,53.1,8.15,5.6,71.0,71.0,47.01986754966888,35.5,0.5021216407355021,0.6635514018691588,1.3370998116760828,8.71165644171779,12.678571428571429,1.0,0.6622516556291391,0.5,0.007072135785007,0.0093457943925233,0.0188323917137476,0.1226993865030674,0.1785714285714285,0.6622516556291391,0.5,0.007072135785007,0.0093457943925233,0.0188323917137476,0.1226993865030674,0.1785714285714285,0.755,0.0106789250353606,0.0141121495327102,0.0284369114877589,0.1852760736196319,0.2696428571428572,0.0141442715700141,0.0186915887850467,0.0376647834274952,0.2453987730061349,0.3571428571428571,1.3214953271028038,2.6629001883239174,17.349693251533743,25.250000000000004,2.0150659133709983,13.12883435582822,19.107142857142858,6.515337423312883,9.482142857142858,1.455357142857143
130,1,0,0.0,0,68.4,86,29.0,9.67,10.4,130.0,,,,1.9005847953216373,1.5116279069767442,4.482758620689655,13.44364012409514,12.5,,,,0.0146198830409356,0.0116279069767441,0.0344827586206896,0.1034126163391933,0.0961538461538461,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7953488372093024,2.3586206896551727,7.073422957600828,6.5769230769230775,2.9655172413793105,8.89348500517063,8.269230769230768,2.998965873836608,2.7884615384615383,0.9298076923076922
87,1,0,0.42,3,223.2,109,53.2,6.38,14.5,87.0,,207.14285714285717,29.0,0.3897849462365592,0.7981651376146789,1.6353383458646615,13.636363636363637,6.0,,2.380952380952381,0.3333333333333333,0.0044802867383512,0.0091743119266055,0.018796992481203,0.1567398119122257,0.0689655172413793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1399999999999999,0.0018817204301075,0.0038532110091743,0.0078947368421052,0.0658307210031347,0.0289655172413793,0.0134408602150537,0.0275229357798165,0.056390977443609,0.4702194357366771,0.2068965517241379,2.0477064220183485,4.195488721804511,34.98432601880878,15.39310344827586,2.048872180451128,17.0846394984326,7.517241379310345,8.338557993730408,3.66896551724138,0.44
138,1,1,4.05,1,183.9,83,92.5,12.04,15.0,138.0,138.0,34.07407407407408,138.0,0.7504078303425775,1.6626506024096386,1.491891891891892,11.461794019933556,9.2,1.0,0.2469135802469136,1.0,0.0054377379010331,0.0120481927710843,0.0108108108108108,0.0830564784053156,0.0666666666666666,0.2469135802469136,1.0,0.0054377379010331,0.0120481927710843,0.0108108108108108,0.0830564784053156,0.0666666666666666,4.05,0.0220228384991843,0.0487951807228915,0.0437837837837837,0.3363787375415282,0.2699999999999999,0.0054377379010331,0.0120481927710843,0.0108108108108108,0.0830564784053156,0.0666666666666666,2.2156626506024097,1.988108108108108,15.274086378737543,12.26,0.8972972972972973,6.893687707641196,5.533333333333333,7.6827242524916945,6.166666666666667,0.8026666666666666
142,1,1,2.57,0,239.8,103,91.7,14.3,9.5,142.0,142.0,55.25291828793775,,0.5921601334445371,1.3786407766990292,1.5485278080697928,9.93006993006993,14.947368421052632,1.0,0.3891050583657587,,0.0041701417848206,0.0097087378640776,0.0109051254089422,0.0699300699300699,0.1052631578947368,0.3891050583657587,,0.0041701417848206,0.0097087378640776,0.0109051254089422,0.0699300699300699,0.1052631578947368,,0.0107172643869891,0.0249514563106796,0.0280261723009814,0.1797202797202797,0.2705263157894736,0.0,0.0,0.0,0.0,0.0,2.328155339805825,2.6150490730643403,16.76923076923077,25.242105263157896,1.1232279171210469,7.2027972027972025,10.842105263157896,6.4125874125874125,9.65263157894737,1.5052631578947369
149,1,1,3.86,1,198.9,77,96.6,13.7,14.3,149.0,149.0,38.60103626943005,149.0,0.7491201608848668,1.9350649350649352,1.542443064182195,10.875912408759124,10.419580419580418,1.0,0.2590673575129534,1.0,0.0050276520864756,0.0129870129870129,0.010351966873706,0.072992700729927,0.0699300699300699,0.2590673575129534,1.0,0.0050276520864756,0.0129870129870129,0.010351966873706,0.072992700729927,0.0699300699300699,3.86,0.0194067370537958,0.0501298701298701,0.0399585921325051,0.2817518248175182,0.2699300699300699,0.0050276520864756,0.0129870129870129,0.010351966873706,0.072992700729927,0.0699300699300699,2.583116883116883,2.0590062111801246,14.518248175182483,13.909090909090908,0.7971014492753624,5.62043795620438,5.384615384615384,7.0510948905109485,6.755244755244754,0.958041958041958
78,1,0,0.0,3,252.9,93,59.0,8.92,9.5,78.0,,,26.0,0.3084223013048636,0.8387096774193549,1.3220338983050848,8.74439461883408,8.210526315789474,,,0.3333333333333333,0.003954132068011,0.010752688172043,0.0169491525423728,0.1121076233183856,0.1052631578947368,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0118623962040332,0.032258064516129,0.0508474576271186,0.336322869955157,0.3157894736842105,2.7193548387096773,4.286440677966102,28.35201793721973,26.621052631578948,1.576271186440678,10.426008968609866,9.789473684210526,6.614349775784754,6.2105263157894735,0.9389473684210526
155,0,1,3.0,1,211.7,121,78.0,6.96,11.1,,155.0,51.66666666666666,155.0,0.7321681624940954,1.28099173553719,1.9871794871794872,22.270114942528732,13.963963963963964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.004723665564478,0.0082644628099173,0.0128205128205128,0.1436781609195402,0.0900900900900901,3.0,0.0141709966934341,0.024793388429752,0.0384615384615384,0.4310344827586207,0.2702702702702703,0.004723665564478,0.0082644628099173,0.0128205128205128,0.1436781609195402,0.0900900900900901,1.749586776859504,2.714102564102564,30.416666666666664,19.07207207207207,1.551282051282051,17.385057471264368,10.9009009009009,11.20689655172414,7.027027027027027,0.6270270270270271
